URL,Course,Degree,University,Tuition Fee,City,Country,Duration
https://www.bachelorsportal.com/studies/452573/law-university-of-london-international-foundation-programme.html?ref=search_card,Law - University of London International Foundation Programme,Bachelor,Queen Mary University of London,"4,669,125 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/452479/english-and-european-law-undergraduate-foundation-programme.html?ref=search_card,English and European Law - Undergraduate Foundation Programme,Bachelor,Queen Mary University of London,"4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/490079/business-computing-undergraduate-foundation-programme.html?ref=search_card,Business Computing - Undergraduate Foundation Programme,Bachelor,"Birkbeck, University of London","4,562,605 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/303410/archaeology-undergraduate-foundation-programme.html?ref=search_card,Archaeology - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/426710/economics-undergraduate-foundation-programme.html?ref=search_card,Economics - Undergraduate Foundation Programme,Bachelor,Royal Holloway University of London,"4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/452705/law-university-of-london-international-foundation-programme.html?ref=search_card,Law - University of London International Foundation Programme,Bachelor,Royal Holloway University of London,"4,669,125 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/284826/accounting-and-financial-studies-undergraduate-foundation-programme.html?ref=search_card,Accounting and Financial Studies - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,450,063 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/390755/hnd-international-level-3-extended-diploma-in-information-technology.html?ref=search_card,HND International Level 3 Extended Diploma in Information Technology,Master,Global Business Studies Dubai,"1,623,103 NPR / year",Dubai,United Arab Emirates,1 year
https://www.bachelorsportal.com/studies/320106/spatial-data-science.html?ref=search_card,Spatial Data Science,Bachelor,University of Canterbury,"3,586,721 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/429032/management-with-entrepreneurship-international-year-one.html?ref=search_card,Management with Entrepreneurship (Year in Business) - International Year One,Bachelor,Royal Holloway University of London,"4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/452562/computer-science-with-management-undergraduate-foundation-programme.html?ref=search_card,Computer Science with Management (ITMB) - Undergraduate Foundation Programme,Bachelor,Queen Mary University of London,"4,533,016 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/328997/international-relations-major.html?ref=search_card,International Relations Major (BA),Bachelor,Curtin University,"3,856,259 NPR / year",Perth,Australia,3 years
https://www.bachelorsportal.com/studies/490660/international-year-one-business-economics-finance-and-management.html?ref=search_card,"International Year One - Business, Economics, Finance and Management",Bachelor,"Birkbeck, University of London","4,562,605 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/422234/physiology-and-pharmacology-undergraduate-foundation-programme.html?ref=search_card,Physiology and Pharmacology - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/483936/bachelor-of-business.html?ref=search_card,Bachelor of Business (Supply Chain and Logistics Management Major),Bachelor,Victoria University,"3,792,569 NPR / year",Melbourne,Australia,3 years
https://www.bachelorsportal.com/studies/422230/occupational-therapy-undergraduate-foundation-programme.html?ref=search_card,Occupational Therapy - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/284917/mechanical-engineering-undergraduate-foundation-programme.html?ref=search_card,Mechanical Engineering - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/390750/hnd-in-digital-technologies.html?ref=search_card,HND in Digital Technologies (Cyber Security),Bachelor,Global Business Studies Dubai,"1,623,103 NPR / year",Dubai,United Arab Emirates,2 years
https://www.bachelorsportal.com/studies/452727/global-law-university-of-london-international-foundation-programme.html?ref=search_card,Global Law - University of London International Foundation Programme,Bachelor,"City St George's, University of London","4,669,125 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/284971/dental-therapy-undergraduate-foundation-programme.html?ref=search_card,Dental Therapy - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/430152/undergraduate-foundation-programme-life-sciences.html?ref=search_card,Undergraduate Foundation Programme - Life Sciences,Bachelor,"City St George's, University of London","4,533,016 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/299869/film-and-video.html?ref=search_card,Film and Video,Bachelor,Full Sail University,"1,564,999 NPR / full",Winter Park,United States,7 months
