URL,Course,Degree,University,Tuition Fee,City,Country,Duration
https://www.bachelorsportal.com/studies/495464/international-year-one.html?ref=search_card,International Year OneAsian Institute of Hospitality and Management (AIHM),N/A,,"1,786,935 NPR / year",Bangkok,Thailand,1 year
https://www.bachelorsportal.com/studies/427003/mathematics-undergraduate-foundation-programme.html?ref=search_card,Mathematics - Undergraduate Foundation ProgrammeMathematics - Undergraduate Foundation ProgrammeRoyal Holloway University of London,N/A,,"4,596,842 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/320007/data-science.html?ref=search_card,Data ScienceData ScienceUniversity of Canterbury,N/A,Provided by university,"3,641,643 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/492500/game-design-and-development.html?ref=search_card,Game Design and Development (Honours - Honours with Research)Amity University Noida,N/A,,"401,885 NPR / year",Noida,India,4 years
https://www.bachelorsportal.com/studies/103671/astronomy.html?ref=search_card,AstronomyAstronomyUniversity of Canterbury,N/A,Provided by university,"3,728,184 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/303319/marketing-international-year-one.html?ref=search_card,"Marketing - International Year OneMarketing - International Year OneBirkbeck, University of London",N/A,,"4,626,847 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/487986/undergraduate-foundation-programme.html?ref=search_card,Undergraduate Foundation ProgrammeUndergraduate Foundation ProgrammeRoyal Veterinary College,N/A,,"4,596,842 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/425320/international-relations-undergraduate-foundation-programme.html?ref=search_card,"International Relations - Undergraduate Foundation ProgrammeInternational Relations - Undergraduate Foundation ProgrammeGoldsmiths, University of London",N/A,,"4,488,822 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/304931/digital-finance-and-fintech.html?ref=search_card,Digital Finance and FinTechGBSB Global Business School,N/A,,"2,414,194 NPR / year",Birkirkara,Malta,3 years
https://www.bachelorsportal.com/studies/97019/graphic-communications-management.html?ref=search_card,Graphic Communications ManagementGraphic Communications ManagementToronto Metropolitan University,N/A,Provided by university,"4,041,582 NPR / year",Toronto,Canada,4 years
https://www.bachelorsportal.com/studies/482324/artificial-intelligence-for-business.html?ref=search_card,Artificial Intelligence for BusinessGBSB Global Business School,N/A,,"2,414,194 NPR / year",Birkirkara,Malta,3 years
https://www.bachelorsportal.com/studies/422414/medicine-undergraduate-foundation-programme.html?ref=search_card,Medicine - Undergraduate Foundation ProgrammeMedicine - Undergraduate Foundation ProgrammeRoyal College of Surgeons in Ireland,N/A,,"3,912,716 NPR / full",Dublin,Ireland,9 months
https://www.bachelorsportal.com/studies/422230/occupational-therapy-undergraduate-foundation-programme.html?ref=search_card,Occupational Therapy - Undergraduate Foundation ProgrammeOccupational Therapy - Undergraduate Foundation ProgrammeThe University of Lancashire,N/A,Provided by university,"3,912,716 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/97186/economics-and-finance.html?ref=search_card,Economics and Finance (Hons)Economics and Finance (Hons)Toronto Metropolitan University,N/A,Provided by university,"4,003,201 NPR / year",Toronto,Canada,4 years
